검색 키워드,제목,원본 링크,네이버 뉴스 링크,요약,게시 날짜
반도체,"권영세 &quot;민주당, '민노총 국회지부'로 간판 바꿔 달아야&quot;",https://www.psnews.co.kr/news/articleView.html?idxno=2083159,https://www.psnews.co.kr/news/articleView.html?idxno=2083159,"그는 &quot;<b>반도체</b>특별법에서 주52시간 예외 조항을 넣는 것조차 민주당은 민노총 뜻을 받드느라 대한민국의... 그는 &quot;최근 민주당이 언론에 소개하는 <b>반도체</b>특별법, 상속세 인하, 연금개혁 등은 모두 국민의힘이... ","Thu, 20 Feb 2025 12:26:00 +0900"
반도체,관세 여파 아이폰까지?…&quot;가격 9% 올려야&quot;,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202502200404&t=NN,https://n.news.naver.com/mnews/article/215/0001199210?sid=101,"<b>반도체</b>·자동차에도 25% 수준의 관세를 부과하겠다는 입장이며 무역 상대국들에 대한 '상호 관세'도 예고한 상태다. 애플은 중국에 생산기지를 두고 있으며, 상호 관세의 영향도 받을 것으로 예상된다. 모한... ","Thu, 20 Feb 2025 12:25:00 +0900"
반도체,&quot;52시간 화이팅!&quot; 권성동 외치자…국민의힘·<b>반도체</b> 업계 &quot;으응?&quot; 순간 당...,https://www.newsis.com/view/NISX20250220_0003072335,https://n.news.naver.com/mnews/article/003/0013078628?sid=102,"국민의힘이 친(親) <b>반도체</b> 여론전에 나선 가운데, 권성동 국민의힘 원내대표가 '주 52시간 근로제' 예외 규정을 언급하는 과정에서 혼선을 빚어 눈길을 끌었다. 19일 국민의힘은 경기 성남에 있는 차량용 <b>반도체</b> 기업... ","Thu, 20 Feb 2025 12:25:00 +0900"
스마트폰,상반기 지속될 애플의 '슈퍼사이클'...국내 벤더 영향은?,http://www.biztribune.co.kr/news/articleView.html?idxno=329957,http://www.biztribune.co.kr/news/articleView.html?idxno=329957,"해당 기술은 5GB 미만의 DRAM만으로도 구동 가능해 <b>스마트폰</b>, PC 등 다양한 기기에 적용될 수 있으며, 이는 곧 애플의 AI 전략과 연결된다는 점에서 시장의 관심을 모았다. 실제로 중국에서 iPhone 판매가... ","Thu, 20 Feb 2025 12:28:00 +0900"
스마트폰,"국제자격검정원, 반려동물 관심자를 위한 펫시터 자격증 무료 강의 이벤...",https://www.woodkorea.co.kr/news/articleView.html?idxno=83810,https://www.woodkorea.co.kr/news/articleView.html?idxno=83810,"무료 강의 수강 방법은 교육원 홈페이지 회원 가입 후 원하는 과정을 신청하면 최대 3과정에 대한 교육비 전액을 면제받을 수 있으며, PC와 <b>스마트폰</b>만 있다면 언제 어디서든 강의 수강과 시험 응시가 가능한 100% 온라인... ","Thu, 20 Feb 2025 12:22:00 +0900"
스마트폰,"삼성, 9년만에 임원 2000명 소집 세미나…'위기 돌파' 취지",http://www.whitepaper.co.kr/news/articleView.html?idxno=243371,http://www.whitepaper.co.kr/news/articleView.html?idxno=243371,또한 TV와 <b>스마트폰</b> 시장에서도 점유율이 줄어드는 등 내외적으로 위기를 맞고 있다. 이재용 삼성전자 회장은 2022년 사내 게시판에 취임사를 정리해 올린 '미래를 위한 도전'이라는 글에서 &quot;꿈과 상상을 현실로 만드는... ,"Thu, 20 Feb 2025 12:20:00 +0900"
스마트폰,"한국이러닝인재개발원, 한국소비자만족지수 1위 7년 연속 수상",https://www.job-post.co.kr/news/articleView.html?idxno=128270,https://www.job-post.co.kr/news/articleView.html?idxno=128270,"아울러 직장 내 성희롱 예방교육, 개인정보보호법 교육, 직장 내 장애인 인식 개선교육 등 다양한 법정 의무 교육을 PC와 <b>스마트폰</b>을 통해 수강할 수 있으며 교육 진도율을 완료한 후 수료증을 즉시 발급받을 수 있어... ","Thu, 20 Feb 2025 12:16:00 +0900"
스마트폰,시민 의견 반영한다…용산공원 시만참여 프로그램 ‘온라인 투표’ 실시,http://www.lak.co.kr/news/boardview.php?id=19442,http://www.lak.co.kr/news/boardview.php?id=19442,누구나 참여할 수 있으며 PC나 <b>스마트폰</b>으로 접속해 선호하는 항목에 투표하면 된다. 투표결과는 2025년 용산공원 활성화 및 시민소통 프로그램에 반영된다. 프로그램 운영은 신용산역 인근 ‘용산도시기억전시관’이... ,"Thu, 20 Feb 2025 12:10:00 +0900"
반도체,산업차관 “美 관세조치 본격화 땐 업종별 추가대책”,http://www.edaily.co.kr/news/newspath.asp?newsid=03155366642072488,https://n.news.naver.com/mnews/article/018/0005947802?sid=101,"그는 19일(현지시간)에도 자동차, <b>반도체</b>, 의약품, 목재 등에 대한 25% 관세를 부과하겠다며 타깃 품목과... 박 차관은 “<b>반도체</b>와 석유제품 등 주요 수출품목 단가 약세가 이어지며 수출을 둘러싼 대외 여건이 녹록지 않은... ","Thu, 20 Feb 2025 12:36:00 +0900"
반도체,"국가AI위원회, AI 역량 강화 방안 발표…&quot;AI 국가대표 정예팀 선발&quot;",https://www.goodkyung.com/news/articleView.html?idxno=258372,https://www.goodkyung.com/news/articleView.html?idxno=258372,오는 2030년까지 국가 AI컴퓨팅 센터 내 국산 AI <b>반도체</b> 비중을 50%로 끌어올리는 것을 비롯해 저전력·고성능의 국산 AI <b>반도체</b> 경쟁력을 높일 방침이다. 이와 함께 조세특례제한법상 AI를 국가전략기술로 지정해 첨단... ,"Thu, 20 Feb 2025 12:34:00 +0900"
반도체,트럼프 취임 한 달···바뀐 권력에 편승해 ‘소비자 우위’를 전복하...,https://www.mk.co.kr/article/11245727,https://n.news.naver.com/mnews/article/009/0005446913?sid=104,트럼프발 자동차·<b>반도체</b> 관세 기사와 우크라이나 종전협상 등 거대한 이슈들이 미국 언론 홈페이지를 도배한 가운데 한 귀퉁이에 이런 제목의 뉴스가 눈에 띕니다. 아메리칸·델타·사우스웨스트·유나이티드항공 등... ,"Thu, 20 Feb 2025 12:33:00 +0900"
반도체,"[코인 시황] 비트코인, 태연한 뉴욕증시 따라 97K 회복",https://www.newspim.com/news/view/20250220000483,https://www.newspim.com/news/view/20250220000483,"연준이 금리 인하에 대해 신중한 모습이 확인되고, 트럼프 대통령이 한 달 안으로 자동차와 <b>반도체</b> 등에 대한 관세를 발표할 수 있다고 경고했지만 증시 투자자들은 이미 알려진 시장 변수라는 듯 크게 반응하지... ","Thu, 20 Feb 2025 12:33:00 +0900"
반도체,가스발전소의 탄소 96% 포집한다...국내 CLC기술 실증사업 완료,https://www.newstree.kr/newsView/ntr202502200001,https://www.newstree.kr/newsView/ntr202502200001,순도 95% 이상의 이산화탄소는 용접이나 <b>반도체</b> 세척 등 활용할 분야가 그만큼 많아지기 때문이다. 무엇보다 연구진은 세계 처음으로 CLC 기술을 이용해 발전에 필요한 수준의 '증기'를 생산하는데도 성공했다.... ,"Thu, 20 Feb 2025 12:32:00 +0900"
스마트폰,"박명수, 블랙핑크 지수 '절친' 인증에 &quot;너무 고마워…노래 대박 나길&quot;(라...",http://enews.imbc.com/News/RetrieveNewsInfo/449812,https://m.entertain.naver.com/article/408/0000254812,"삶은 바쁜 것 같은데 노래가 대박 나길 바란다&quot;라며 응원했다. '박명수의 라디오쇼'는 매일 오전 11시부터 12시까지 KBS 쿨FM에서 방송되며, PC 및 <b>스마트폰</b> 애플리케이션 'KBS 라디오 콩'을 통해서도 들을 수 있다.","Thu, 20 Feb 2025 12:36:00 +0900"
스마트폰,박명수 &quot;인공지능 AI 시대인데 머리 안 빠지는 약 無&quot; 고충 (라디오쇼),http://enews.imbc.com/News/RetrieveNewsInfo/449810,https://m.entertain.naver.com/article/408/0000254811,"머리 안 빠지는 약은 왜 개발 못하는지 (모르겠다)&quot;라고 말했다. '박명수의 라디오쇼'는 매일 오전 11시부터 12시까지 KBS 쿨FM에서 방송되며, PC 및 <b>스마트폰</b> 애플리케이션 'KBS 라디오 콩'을 통해서도 들을 수 있다.","Thu, 20 Feb 2025 12:34:00 +0900"
스마트폰,상반기 지속될 애플의 '슈퍼사이클'...국내 벤더 영향은?,http://www.biztribune.co.kr/news/articleView.html?idxno=329957,http://www.biztribune.co.kr/news/articleView.html?idxno=329957,"해당 기술은 5GB 미만의 DRAM만으로도 구동 가능해 <b>스마트폰</b>, PC 등 다양한 기기에 적용될 수 있으며, 이는 곧 애플의 AI 전략과 연결된다는 점에서 시장의 관심을 모았다. 실제로 중국에서 iPhone 판매가... ","Thu, 20 Feb 2025 12:28:00 +0900"
스마트폰,"국제자격검정원, 반려동물 관심자를 위한 펫시터 자격증 무료 강의 이벤...",https://www.woodkorea.co.kr/news/articleView.html?idxno=83810,https://www.woodkorea.co.kr/news/articleView.html?idxno=83810,"무료 강의 수강 방법은 교육원 홈페이지 회원 가입 후 원하는 과정을 신청하면 최대 3과정에 대한 교육비 전액을 면제받을 수 있으며, PC와 <b>스마트폰</b>만 있다면 언제 어디서든 강의 수강과 시험 응시가 가능한 100% 온라인... ","Thu, 20 Feb 2025 12:22:00 +0900"
스마트폰,"삼성, 9년만에 임원 2000명 소집 세미나…'위기 돌파' 취지",http://www.whitepaper.co.kr/news/articleView.html?idxno=243371,http://www.whitepaper.co.kr/news/articleView.html?idxno=243371,또한 TV와 <b>스마트폰</b> 시장에서도 점유율이 줄어드는 등 내외적으로 위기를 맞고 있다. 이재용 삼성전자 회장은 2022년 사내 게시판에 취임사를 정리해 올린 '미래를 위한 도전'이라는 글에서 &quot;꿈과 상상을 현실로 만드는... ,"Thu, 20 Feb 2025 12:20:00 +0900"
반도체,"정부, AI 컴퓨팅 인프라 확충 ‘인공지능 3대 강국’ 도약 추진",https://biz.chosun.com/it-science/ict/2025/02/20/NXW3BNDTYNGOZEODCCXCHSVWQA/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://n.news.naver.com/mnews/article/366/0001055382?sid=105,"8만 장 규모의 첨단 GPU를 확보하며 ▲2030년까지 국가 AI 컴퓨팅 센터 내 국산 AI <b>반도체</b> 비중을 50%로 확대할 계획이다. 또한, 민간 AI 인프라 투자 촉진을 위한 세제 지원을 강화하고, AI를 국가전략기술로 지정해 R&amp;D 및... ","Thu, 20 Feb 2025 12:46:00 +0900"
반도체,류진 한경협 회장 &quot;韓 경제 벼랑 끝…성장엔진 되살리기 앞장설것&quot;,https://www.news1.kr/industry/company/5696140,https://n.news.naver.com/mnews/article/421/0008087801?sid=101,"류 회장은 &quot;엔비디아는 기업가 정신을 맘껏 발휘하는 토양을 가졌고, TSMC는 전폭적 국가적 지원을 받았다&quot;며 &quot;지금 한국의 AI 투자 규모는 중국의 5분의 1에 불과하며 <b>반도체</b> 생산 라인의 증설 허가를 받는 데만 2~3년이... ","Thu, 20 Feb 2025 12:46:00 +0900"
반도체,산업부 “1월 수출 감소… 2월도 어렵다”,https://m.skyedaily.com/news_view.html?ID=263845,https://m.skyedaily.com/news_view.html?ID=263845,둔화와 <b>반도체</b>·석유제품 등 주요 수출품목의 단가 약세가 이어져 수출을 둘러싼 대외 여건이 녹록지 않다”... 실제로 도널드 트럼프 미국 대통령은 19일(현지시간) 철강 제품에 이어 자동차·<b>반도체</b>·의약품 등에도 25... ,"Thu, 20 Feb 2025 12:44:00 +0900"
반도체,"'美 관세폭탄 임박' 韓 자동차, 러시아 시장서 돌파구 찾는다",https://www.m-economynews.com/news/article.html?no=51466,https://www.m-economynews.com/news/article.html?no=51466,"美 자동차관세 돌파구 될지도 업계관계자 &quot;차별화 전략땐 러시아 시장점유율 20% 회복 가능성&quot; 미국 도널드 트럼프 대통령이 18일 국가를 가리지 않고 <b>반도체</b>와 의약품, 자동차에 25% 관세를 부과하겠다고 밝혔다. 이... ","Thu, 20 Feb 2025 12:44:00 +0900"
반도체,기업 경기 3년 연속 힘들다..올 1분기 2009년 금융위기 이후 최악,http://www.breaknews.com/1093938,http://www.breaknews.com/1093938,제조업 세부 업종(총 10개) 중에서는 <b>반도체</b> 장비 등이 포함된 ‘일반ˑ정밀기계 및 장비’(110.5)와 <b>반도체</b>가 포함된 ‘전자 및 통신장비’(105.6)가 긍정 전망을... ,"Thu, 20 Feb 2025 12:42:00 +0900"
스마트폰,"2025 컬러 &amp; 디자인 세미나 서울, 디지털 시대 색채와 디자인 미래 조망",https://www.geconomy.co.kr/news/article.html?no=294780,https://www.geconomy.co.kr/news/article.html?no=294780,"디지털 환경에서 디바이스별 색상 차이 문제와 컬러 매니지먼트의 중요성을 강조하며, &quot;같은 사진이라도 모니터, <b>스마트폰</b>, 인쇄물에서 색상이 다르게 보이는 이유는 기기마다 색 표현 방식이 다르기 때문&quot;이라고... ","Thu, 20 Feb 2025 12:44:00 +0900"
스마트폰,"농업 기상 재해정보, `농업e지`로 해결한다",https://www.dt.co.kr/contents.html?article_no=2025022002109902054001&ref=naver,https://n.news.naver.com/mnews/article/029/0002936709?sid=101,"농업경영체 등록 농가는 개인용컴퓨터와 <b>스마트폰</b>을 활용해 이용하면 됐다. 개화기 저온에 따른 결실 불량, 수확기 강풍에 의한 낙과 등 기상재해 피해가 빈번한 과수농가에서 농업기상재해 조기경보 알림서비스를... ","Thu, 20 Feb 2025 12:38:00 +0900"
스마트폰,"박명수, 블랙핑크 지수 '절친' 인증에 &quot;너무 고마워…노래 대박 나길&quot;(라...",http://enews.imbc.com/News/RetrieveNewsInfo/449812,https://m.entertain.naver.com/article/408/0000254812,"삶은 바쁜 것 같은데 노래가 대박 나길 바란다&quot;라며 응원했다. '박명수의 라디오쇼'는 매일 오전 11시부터 12시까지 KBS 쿨FM에서 방송되며, PC 및 <b>스마트폰</b> 애플리케이션 'KBS 라디오 콩'을 통해서도 들을 수 있다.","Thu, 20 Feb 2025 12:36:00 +0900"
스마트폰,박명수 &quot;인공지능 AI 시대인데 머리 안 빠지는 약 無&quot; 고충 (라디오쇼),http://enews.imbc.com/News/RetrieveNewsInfo/449810,https://m.entertain.naver.com/article/408/0000254811,"머리 안 빠지는 약은 왜 개발 못하는지 (모르겠다)&quot;라고 말했다. '박명수의 라디오쇼'는 매일 오전 11시부터 12시까지 KBS 쿨FM에서 방송되며, PC 및 <b>스마트폰</b> 애플리케이션 'KBS 라디오 콩'을 통해서도 들을 수 있다.","Thu, 20 Feb 2025 12:34:00 +0900"
스마트폰,상반기 지속될 애플의 '슈퍼사이클'...국내 벤더 영향은?,http://www.biztribune.co.kr/news/articleView.html?idxno=329957,http://www.biztribune.co.kr/news/articleView.html?idxno=329957,"해당 기술은 5GB 미만의 DRAM만으로도 구동 가능해 <b>스마트폰</b>, PC 등 다양한 기기에 적용될 수 있으며, 이는 곧 애플의 AI 전략과 연결된다는 점에서 시장의 관심을 모았다. 실제로 중국에서 iPhone 판매가... ","Thu, 20 Feb 2025 12:28:00 +0900"
반도체,"심플랫폼, 드라이브 포스와 전기추진선박 모니터링 서비스 제공",https://news.mtn.co.kr/news-detail/2025022009290256668,https://news.mtn.co.kr/news-detail/2025022009290256668,"최근에는 <b>반도체</b> 및 디스플레이 제조 공정에 AIoT 플랫폼을 도입해 품질 최적화 및 수율 향상 성과를 거두었으며, 이를 기반으로 코스닥 상장을 준비 중이다. 김다솔 머니투데이방송 MTN 기자","Thu, 20 Feb 2025 13:10:00 +0900"
반도체,전방위-무차별 '글로벌 관세전쟁' … 동맹도 우방도 예외 없다 [트럼프...,https://www.newdaily.co.kr/site/data/html/2025/02/20/2025022000156.html,https://www.newdaily.co.kr/site/data/html/2025/02/20/2025022000156.html,"3월12일 시행 예정인 철강·알루미늄 관세에 이어 국가별 상호관세, 자동차 관세, <b>반도체</b>와 의약품 등도... 자동차와 <b>반도체</b>는 지난해 우리의 대미 수출 1·3위를 차지했고, 의약품은 대미 수출 규모가 4년새 곱절로 커진 주력... ","Thu, 20 Feb 2025 13:10:00 +0900"
